date,monthly_close,fiscal_year,annual_revenue
2014-01-31,17.934500,,
2014-02-28,18.105000,,
2014-03-31,16.818501,,
2014-04-30,15.206500,,
2014-05-30,15.627500,,
2014-06-30,16.239000,,
2014-07-31,15.649500,,
2014-08-29,16.952000,,
2014-09-30,16.122000,,
2014-10-31,15.273000,,
2014-11-28,16.931999,,
2014-12-31,15.517500,2014,88988000000
2015-01-30,17.726500,,
2015-02-27,19.007999,,
2015-03-31,18.605000,,
2015-04-30,21.089001,,
2015-05-29,21.461500,,
2015-06-30,21.704500,,
2015-07-31,26.807501,,
2015-08-31,25.644501,,
2015-09-30,25.594500,,
2015-10-30,31.295000,,
2015-11-30,33.240002,,
2015-12-31,33.794498,2015,107006000000
2016-01-29,29.350000,,
2016-02-29,27.625999,,
2016-03-31,29.681999,,
2016-04-29,32.979500,,
2016-05-31,36.139500,,
2016-06-30,35.780998,,
2016-07-29,37.940498,,
2016-08-31,38.458000,,
2016-09-30,41.865501,,
2016-10-31,39.491001,,
2016-11-30,37.528500,,
2016-12-30,37.493500,,
2016-12-31,,2016,135987000000
2017-01-31,41.174000,,
2017-02-28,42.251999,,
2017-03-31,44.327000,,
2017-04-28,46.249500,,
2017-05-31,49.730999,,
2017-06-30,48.400002,,
2017-07-31,49.389000,,
2017-08-31,49.029999,,
2017-09-29,48.067501,,
2017-10-31,55.264000,,
2017-11-30,58.837502,,
2017-12-29,58.473499,,
2017-12-31,,2017,177866000000
2018-01-31,72.544502,,
2018-02-28,75.622498,,
2018-03-29,72.366997,,
2018-04-30,78.306503,,
2018-05-31,81.481003,,
2018-06-29,84.989998,,
2018-07-31,88.872002,,
2018-08-31,100.635498,,
2018-09-28,100.150002,,
2018-10-31,79.900497,,
2018-11-30,84.508499,,
2018-12-31,75.098503,2018,232887000000
2019-01-31,85.936501,,
2019-02-28,81.991501,,
2019-03-29,89.037498,,
2019-04-30,96.325996,,
2019-05-31,88.753502,,
2019-06-28,94.681503,,
2019-07-31,93.338997,,
2019-08-30,88.814499,,
2019-09-30,86.795502,,
2019-10-31,88.833000,,
2019-11-29,90.040001,,
2019-12-31,92.391998,2019,280522000000
2020-01-31,100.435997,,
2020-02-28,94.187500,,
2020-03-31,97.486000,,
2020-04-30,123.699997,,
2020-05-29,122.118500,,
2020-06-30,137.940994,,
2020-07-31,158.233994,,
2020-08-31,172.548004,,
2020-09-30,157.436493,,
2020-10-30,151.807495,,
2020-11-30,158.401993,,
2020-12-31,162.846497,2020,386064000000
2021-01-29,160.309998,,
2021-02-26,154.646500,,
2021-03-31,154.703995,,
2021-04-30,173.371002,,
2021-05-28,161.153503,,
2021-06-30,172.007996,,
2021-07-30,166.379501,,
2021-08-31,173.539505,,
2021-09-30,164.251999,,
2021-10-29,168.621506,,
2021-11-30,175.353500,,
2021-12-31,166.716995,2021,469822000000
2022-01-31,149.573502,,
2022-02-28,153.563004,,
2022-03-31,162.997498,,
2022-04-29,124.281502,,
2022-05-31,120.209503,,
2022-06-30,106.209999,,
2022-07-29,134.949997,,
2022-08-31,126.769997,,
2022-09-30,113.000000,,
2022-10-31,102.440002,,
2022-11-30,96.540001,,
2022-12-30,84.000000,,
2022-12-31,,2022,513983000000
2023-01-31,103.129997,,
2023-02-28,94.230003,,
2023-03-31,103.290001,,
2023-04-28,105.449997,,
2023-05-31,120.580002,,
2023-06-30,130.360001,,
2023-07-31,133.679993,,
2023-08-31,138.009995,,
2023-09-29,127.120003,,
2023-10-31,133.089996,,
2023-11-30,146.089996,,
2023-12-29,151.940002,,
2023-12-31,,2023,574785000000
2024-01-31,155.199997,,
2024-02-29,176.759995,,
2024-03-28,180.380005,,
2024-04-30,175.000000,,
2024-05-31,176.440002,,
2024-06-28,193.250000,,
2024-07-31,186.979996,,
2024-08-30,178.500000,,
2024-09-30,186.330002,,
2024-10-31,186.399994,,
2024-11-29,207.889999,,
2024-12-31,219.389999,2024,637959000000
2025-01-31,237.679993,,
2025-02-28,212.279999,,
2025-03-31,190.259995,,
2025-04-30,184.419998,,
2025-05-30,205.009995,,
2025-06-30,219.389999,,
2025-07-31,234.110001,,
2025-08-29,229.000000,,
2025-09-30,219.570007,,
2025-10-31,244.220001,,
2025-11-28,233.220001,,
2025-12-31,230.820007,2025,716924000000
