date,monthly_close,fiscal_year,annual_revenue
2014-01-31,17.878571,,
2014-02-28,18.794287,,
2014-03-31,19.169287,,
2014-04-30,21.074642,,
2014-05-30,22.607143,,
2014-06-30,23.232500,,
2014-07-31,23.900000,,
2014-08-29,25.625000,,
2014-09-27,,2014,182795000000
2014-09-30,25.187500,,
2014-10-31,27.000000,,
2014-11-28,29.732500,,
2014-12-31,27.594999,,
2015-01-30,29.290001,,
2015-02-27,32.115002,,
2015-03-31,31.107500,,
2015-04-30,31.287500,,
2015-05-29,32.570000,,
2015-06-30,31.357500,,
2015-07-31,30.325001,,
2015-08-31,28.190001,,
2015-09-26,,2015,233715000000
2015-09-30,27.575001,,
2015-10-30,29.875000,,
2015-11-30,29.575001,,
2015-12-31,26.315001,,
2016-01-29,24.334999,,
2016-02-29,24.172501,,
2016-03-31,27.247499,,
2016-04-29,23.434999,,
2016-05-31,24.965000,,
2016-06-30,23.900000,,
2016-07-29,26.052500,,
2016-08-31,26.525000,,
2016-09-24,,2016,215639000000
2016-09-30,28.262501,,
2016-10-31,28.385000,,
2016-11-30,27.629999,,
2016-12-30,28.955000,,
2017-01-31,30.337500,,
2017-02-28,34.247501,,
2017-03-31,35.915001,,
2017-04-28,35.912498,,
2017-05-31,38.189999,,
2017-06-30,36.005001,,
2017-07-31,37.182499,,
2017-08-31,41.000000,,
2017-09-29,38.529999,,
2017-09-30,,2017,229234000000
2017-10-31,42.259998,,
2017-11-30,42.962502,,
2017-12-29,42.307499,,
2018-01-31,41.857498,,
2018-02-28,44.529999,,
2018-03-29,41.945000,,
2018-04-30,41.314999,,
2018-05-31,46.717499,,
2018-06-29,46.277500,,
2018-07-31,47.572498,,
2018-08-31,56.907501,,
2018-09-28,56.435001,,
2018-09-29,,2018,265595000000
2018-10-31,54.715000,,
2018-11-30,44.645000,,
2018-12-31,39.435001,,
2019-01-31,41.610001,,
2019-02-28,43.287498,,
2019-03-29,47.487499,,
2019-04-30,50.167500,,
2019-05-31,43.767502,,
2019-06-28,49.480000,,
2019-07-31,53.259998,,
2019-08-30,52.185001,,
2019-09-28,,2019,260174000000
2019-09-30,55.992500,,
2019-10-31,62.189999,,
2019-11-29,66.812500,,
2019-12-31,73.412498,,
2020-01-31,77.377502,,
2020-02-28,68.339996,,
2020-03-31,63.572498,,
2020-04-30,73.449997,,
2020-05-29,79.485001,,
2020-06-30,91.199997,,
2020-07-31,106.260002,,
2020-08-31,129.039993,,
2020-09-26,,2020,274515000000
2020-09-30,115.809998,,
2020-10-30,108.860001,,
2020-11-30,119.050003,,
2020-12-31,132.690002,,
2021-01-29,131.960007,,
2021-02-26,121.260002,,
2021-03-31,122.150002,,
2021-04-30,131.460007,,
2021-05-28,124.610001,,
2021-06-30,136.960007,,
2021-07-30,145.860001,,
2021-08-31,151.830002,,
2021-09-25,,2021,365817000000
2021-09-30,141.500000,,
2021-10-29,149.800003,,
2021-11-30,165.300003,,
2021-12-31,177.570007,,
2022-01-31,174.779999,,
2022-02-28,165.119995,,
2022-03-31,174.610001,,
2022-04-29,157.649994,,
2022-05-31,148.839996,,
2022-06-30,136.720001,,
2022-07-29,162.509995,,
2022-08-31,157.220001,,
2022-09-24,,2022,394328000000
2022-09-30,138.199997,,
2022-10-31,153.339996,,
2022-11-30,148.029999,,
2022-12-30,129.929993,,
2023-01-31,144.289993,,
2023-02-28,147.410004,,
2023-03-31,164.899994,,
2023-04-28,169.679993,,
2023-05-31,177.250000,,
2023-06-30,193.970001,,
2023-07-31,196.449997,,
2023-08-31,187.869995,,
2023-09-29,171.210007,,
2023-09-30,,2023,383285000000
2023-10-31,170.770004,,
2023-11-30,189.949997,,
2023-12-29,192.529999,,
2024-01-31,184.399994,,
2024-02-29,180.750000,,
2024-03-28,171.479996,,
2024-04-30,170.330002,,
2024-05-31,192.250000,,
2024-06-28,210.619995,,
2024-07-31,222.080002,,
2024-08-30,229.000000,,
2024-09-28,,2024,391035000000
2024-09-30,233.000000,,
2024-10-31,225.910004,,
2024-11-29,237.330002,,
2024-12-31,250.419998,,
2025-01-31,236.000000,,
2025-02-28,241.839996,,
2025-03-31,222.130005,,
2025-04-30,212.500000,,
2025-05-30,200.850006,,
2025-06-30,205.169998,,
2025-07-31,207.570007,,
2025-08-29,232.139999,,
2025-09-27,,2025,416161000000
2025-09-30,254.630005,,
2025-10-31,270.369995,,
2025-11-28,278.850006,,
2025-12-31,271.859985,,
