date,monthly_close,fiscal_year,annual_revenue
2014-01-31,12.094000,,
2014-02-28,16.320667,,
2014-03-31,13.896667,,
2014-04-30,13.859333,,
2014-05-30,13.851333,,
2014-06-30,16.004000,,
2014-07-31,14.886667,,
2014-08-29,17.980000,,
2014-09-30,16.178667,,
2014-10-31,16.113333,,
2014-11-28,16.301332,,
2014-12-31,14.827333,2014,3198356000
2015-01-30,13.573333,,
2015-02-27,13.556000,,
2015-03-31,12.584667,,
2015-04-30,15.070000,,
2015-05-29,16.719999,,
2015-06-30,17.884001,,
2015-07-31,17.743334,,
2015-08-31,16.604000,,
2015-09-30,16.559999,,
2015-10-30,13.795333,,
2015-11-30,15.350667,,
2015-12-31,16.000668,2015,4046025000
2016-01-29,12.746667,,
2016-02-29,12.795333,,
2016-03-31,15.318000,,
2016-04-29,16.050667,,
2016-05-31,14.882000,,
2016-06-30,14.152000,,
2016-07-29,15.652667,,
2016-08-31,14.134000,,
2016-09-30,13.602000,,
2016-10-31,13.182000,,
2016-11-30,12.626667,,
2016-12-30,14.246000,,
2016-12-31,,2016,7000132000
2017-01-31,16.795334,,
2017-02-28,16.666000,,
2017-03-31,18.553333,,
2017-04-28,20.938000,,
2017-05-31,22.733999,,
2017-06-30,24.107332,,
2017-07-31,21.564667,,
2017-08-31,23.726667,,
2017-09-29,22.740000,,
2017-10-31,22.101999,,
2017-11-30,20.590000,,
2017-12-29,20.756666,,
2017-12-31,,2017,11759000000
2018-01-31,23.620667,,
2018-02-28,22.870667,,
2018-03-29,17.742001,,
2018-04-30,19.593332,,
2018-05-31,18.982000,,
2018-06-29,22.863333,,
2018-07-31,19.875999,,
2018-08-31,20.110666,,
2018-09-28,17.651333,,
2018-10-31,22.488001,,
2018-11-30,23.365334,,
2018-12-31,22.186666,2018,21461000000
2019-01-31,20.468000,,
2019-02-28,21.325333,,
2019-03-29,18.657333,,
2019-04-30,15.912667,,
2019-05-31,12.344000,,
2019-06-28,14.897333,,
2019-07-31,16.107332,,
2019-08-30,15.040667,,
2019-09-30,16.058001,,
2019-10-31,20.994667,,
2019-11-29,21.996000,,
2019-12-31,27.888666,2019,24578000000
2020-01-31,43.371334,,
2020-02-28,44.532665,,
2020-03-31,34.933334,,
2020-04-30,52.125332,,
2020-05-29,55.666668,,
2020-06-30,71.987335,,
2020-07-31,95.384003,,
2020-08-31,166.106674,,
2020-09-30,143.003326,,
2020-10-30,129.346664,,
2020-11-30,189.199997,,
2020-12-31,235.223328,2020,31536000000
2021-01-29,264.510010,,
2021-02-26,225.166672,,
2021-03-31,222.643326,,
2021-04-30,236.479996,,
2021-05-28,208.406662,,
2021-06-30,226.566666,,
2021-07-30,229.066666,,
2021-08-31,245.240005,,
2021-09-30,258.493347,,
2021-10-29,371.333344,,
2021-11-30,381.586670,,
2021-12-31,352.260010,2021,53823000000
2022-01-31,312.239990,,
2022-02-28,290.143341,,
2022-03-31,359.200012,,
2022-04-29,290.253326,,
2022-05-31,252.753326,,
2022-06-30,224.473328,,
2022-07-29,297.149994,,
2022-08-31,275.609985,,
2022-09-30,265.250000,,
2022-10-31,227.539993,,
2022-11-30,194.699997,,
2022-12-30,123.180000,,
2022-12-31,,2022,81462000000
2023-01-31,173.220001,,
2023-02-28,205.710007,,
2023-03-31,207.460007,,
2023-04-28,164.309998,,
2023-05-31,203.929993,,
2023-06-30,261.769989,,
2023-07-31,267.429993,,
2023-08-31,258.079987,,
2023-09-29,250.220001,,
2023-10-31,200.839996,,
2023-11-30,240.080002,,
2023-12-29,248.479996,,
2023-12-31,,2023,96773000000
2024-01-31,187.289993,,
2024-02-29,201.880005,,
2024-03-28,175.789993,,
2024-04-30,183.279999,,
2024-05-31,178.080002,,
2024-06-28,197.880005,,
2024-07-31,232.070007,,
2024-08-30,214.110001,,
2024-09-30,261.630005,,
2024-10-31,249.850006,,
2024-11-29,345.160004,,
2024-12-31,403.839996,2024,97690000000
2025-01-31,404.600006,,
2025-02-28,292.980011,,
2025-03-31,259.160004,,
2025-04-30,282.160004,,
2025-05-30,346.459991,,
2025-06-30,317.660004,,
2025-07-31,308.269989,,
2025-08-29,333.869995,,
2025-09-30,444.720001,,
2025-10-31,456.559998,,
2025-11-28,430.170013,,
2025-12-31,449.720001,2025,94827000000
